"id","text","title"
"2539","This data defines potential hurricane-induced coastal erosion hazards for the Delaware, Maryland and Virginia coastline using pre-storm forecasts for Hurricane Sandy. The analysis is based on a storm-impact scaling model that uses observations of beach morphology combined with sophisticated hydrodynamic models to predict how the coast will potentially respond to the direct landfall of Hurricane Sandy. Hurricane-induced water levels, due to both surge and wave run-up, are compared to beach and dune elevations to determine the probabilities of three types of coastal change: collision (dune erosion), overwash, and inundation.","The collision element of Hurricane Sandy Assessment of Potential Coastal-Change Impacts"
"2543","This data defines potential hurricane-induced coastal erosion hazards for the Delaware, Maryland and Virginia coastline using pre-storm forecasts for Hurricane Sandy. The analysis is based on a storm-impact scaling model that uses observations of beach morphology combined with sophisticated hydrodynamic models to predict how the coast will potentially respond to the direct landfall of Hurricane Sandy. Hurricane-induced water levels, due to both surge and wave run-up, are compared to beach and dune elevations to determine the probabilities of three types of coastal change: collision (dune erosion), overwash, and inundation.","The overwash element of Hurricane Sandy Assessment of Potential Coastal-Change Impacts"
"2547","This data defines potential hurricane-induced coastal erosion hazards for the Delaware, Maryland and Virginia coastline using pre-storm forecasts for Hurricane Sandy. The analysis is based on a storm-impact scaling model that uses observations of beach morphology combined with sophisticated hydrodynamic models to predict how the coast will potentially respond to the direct landfall of Hurricane Sandy. Hurricane-induced water levels, due to both surge and wave run-up, are compared to beach and dune elevations to determine the probabilities of three types of coastal change: collision (dune erosion), overwash, and inundation.","The innundation element of Hurricane Sandy Assessment of Potential Coastal-Change Impacts"
"2551","This data defines potential hurricane-induced coastal erosion hazards for the Delaware, Maryland and Virginia coastline using pre-storm forecasts for Hurricane Sandy. The analysis is based on a storm-impact scaling model that uses observations of beach morphology combined with sophisticated hydrodynamic models to predict how the coast will potentially respond to the direct landfall of Hurricane Sandy. Hurricane-induced water levels, due to both surge and wave run-up, are compared to beach and dune elevations to determine the probabilities of three types of coastal change: collision (dune erosion), overwash, and inundation.","The Mean water level (Setup + Surge) element of Hurricane Sandy Assessment of Potential Coastal-Change Impacts"
"2555","This data defines potential hurricane-induced coastal erosion hazards for the Delaware, Maryland and Virginia coastline using pre-storm forecasts for Hurricane Sandy. The analysis is based on a storm-impact scaling model that uses observations of beach morphology combined with sophisticated hydrodynamic models to predict how the coast will potentially respond to the direct landfall of Hurricane Sandy. Hurricane-induced water levels, due to both surge and wave run-up, are compared to beach and dune elevations to determine the probabilities of three types of coastal change: collision (dune erosion), overwash, and inundation.","The Extreme water level (Runup + Surge) element of Hurricane Sandy Assessment of Potential Coastal-Change Impacts"
"2577","This data defines potential hurricane-induced coastal erosion hazards for the Delaware, Maryland and Virginia coastline using pre-storm forecasts for Hurricane Sandy. The analysis is based on a storm-impact scaling model that uses observations of beach morphology combined with sophisticated hydrodynamic models to predict how the coast will potentially respond to the direct landfall of Hurricane Sandy. Hurricane-induced water levels, due to both surge and wave run-up, are compared to beach and dune elevations to determine the probabilities of three types of coastal change: collision (dune erosion), overwash, and inundation.","The Elevation of dune crest in meters NAVD88 element of Hurricane Sandy Assessment of Potential Coastal-Change Impacts"
"2581","This data defines potential hurricane-induced coastal erosion hazards for the Delaware, Maryland and Virginia coastline using pre-storm forecasts for Hurricane Sandy. The analysis is based on a storm-impact scaling model that uses observations of beach morphology combined with sophisticated hydrodynamic models to predict how the coast will potentially respond to the direct landfall of Hurricane Sandy. Hurricane-induced water levels, due to both surge and wave run-up, are compared to beach and dune elevations to determine the probabilities of three types of coastal change: collision (dune erosion), overwash, and inundation.","The Elevation of the dune toe in meters NAVD88 element of Hurricane Sandy Assessment of Potential Coastal-Change Impacts"
"2585","This data defines potential hurricane-induced coastal erosion hazards for the Delaware, Maryland and Virginia coastline using pre-storm forecasts for Hurricane Sandy. The analysis is based on a storm-impact scaling model that uses observations of beach morphology combined with sophisticated hydrodynamic models to predict how the coast will potentially respond to the direct landfall of Hurricane Sandy. Hurricane-induced water levels, due to both surge and wave run-up, are compared to beach and dune elevations to determine the probabilities of three types of coastal change: collision (dune erosion), overwash, and inundation.","The Wave setup water level element of Hurricane Sandy Assessment of Potential Coastal-Change Impacts"
"2601","This data defines potential hurricane-induced coastal erosion hazards for the Delaware, Maryland and Virginia coastline using pre-storm forecasts for Hurricane Sandy.","Aggregation of Hurricane Sandy Assessment of Potential Coastal-Change Impacts"
"2602","uber","uber"
